Product Id,Product Handle,Product Title,Product Subtitle,Product Description,Product Status,Product Thumbnail,Product Weight,Product Length,Product Width,Product Height,Product HS Code,Product Origin Country,Product MID Code,Product Material,Shipping Profile Id,Product Sales Channel 1,Product Collection Id,Product Type Id,Product Tag 1,Product Discountable,Product External Id,Variant Id,Variant Title,Variant SKU,Variant Barcode,Variant Allow Backorder,Variant Manage Inventory,Variant Weight,Variant Length,Variant Width,Variant Height,Variant HS Code,Variant Origin Country,Variant MID Code,Variant Material,Variant Price EUR,Variant Price USD,Variant Option 1 Name,Variant Option 1 Value,Product Image 1 Url,Product Image 2 Url
,big-student-large-laptop-backpack-black-ek0a5bahn551-b08yrwn3wb,Big Student Large laptop backpack Black EK0A5BAHN551,,Big Student Large laptop backpack Black EK0A5BAHN551 by JANSPORT. Category: New season. Rated 4.7 stars. Shop: https://www.amazon.ae/dp/B08YRWN3WB,published,https://m.media-amazon.com/images/I/51y2EF0OmOL._AC_UL320_.jpg,500,,,,,,,,default,sc_01KCBH6HGXQJG2T09NAZZN0SRC,,ptyp_01KCC4NMFYBGMVP5P9JZ220VX2,ptag_01KCC4HEKMA64HT1R1VXP1ZGQ4,TRUE,B08YRWN3WB,,Big Student Large laptop backpack Black EK0A5BAHN551,B08YRWN3WB,B08YRWN3WB,FALSE,TRUE,500,,,,,,,,173.88,189.00,Variant,Default,https://m.media-amazon.com/images/I/51y2EF0OmOL._AC_UL320_.jpg,
,superbreak-day-pack-b08yrxfzzm,Superbreak Day Pack,,Superbreak Day Pack by JANSPORT. Category: New season. Rated 4.6 stars. Shop: https://www.amazon.ae/dp/B08YRXFZZM,published,https://m.media-amazon.com/images/I/51yvvQUs3SL._AC_UL320_.jpg,500,,,,,,,,default,sc_01KCBH6HGXQJG2T09NAZZN0SRC,,ptyp_01KCC4NMFYBGMVP5P9JZ220VX2,ptag_01KCC4HEKMA64HT1R1VXP1ZGQ4,TRUE,B08YRXFZZM,,Superbreak Day Pack,B08YRXFZZM,B08YRXFZZM,FALSE,TRUE,500,,,,,,,,109.48,119.00,Variant,Default,https://m.media-amazon.com/images/I/51yvvQUs3SL._AC_UL320_.jpg,
,mini-travel-umbrella-with-case-small-compact-uv-umbrella-protection-sun-lightweight-tiny-pocket-umbrella-b09q2pq7zb,Mini Travel Umbrella With Case Small Compact UV Umbrella Protection Sun Lightweight Tiny Pocket Umbrella,BAODINI,Mini Travel Umbrella With Case Small Compact UV Umbrella Protection Sun Lightweight Tiny Pocket Umbrella by BAODINI. Category: New season. Rated 4.2 stars. Shop: https://www.amazon.ae/dp/B09Q2PQ7ZB,published,https://m.media-amazon.com/images/I/71WbrZPbnGL._AC_UL320_.jpg,500,,,,,,,BAODINI,default,sc_01KCBH6HGXQJG2T09NAZZN0SRC,,ptyp_01KCC4NMFYBGMVP5P9JZ220VX2,ptag_01KCC4HEN6V3323Q99917RH903,TRUE,B09Q2PQ7ZB,,Mini Travel Umbrella With Case Small Compact UV Umbrella Protection Sun Lightweight Tiny Pocket Umbrella,B09Q2PQ7ZB,B09Q2PQ7ZB,FALSE,TRUE,500,,,,,,,BAODINI,16.37,17.79,Variant,Default,https://m.media-amazon.com/images/I/71WbrZPbnGL._AC_UL320_.jpg,
,men-s-cotton-classics-3-pack-boxer-brief-b001beawxy,Men's Cotton Classics 3-Pack Boxer Brief,Calvin Klein,Men's Cotton Classics 3-Pack Boxer Brief by Calvin Klein. Category: New season. Rated 4.2 stars. Shop: https://www.amazon.ae/dp/B001BEAWXY,published,https://m.media-amazon.com/images/I/716vzeqa7ZL._AC_UL320_.jpg,500,,,,,,,Calvin Klein,default,sc_01KCBH6HGXQJG2T09NAZZN0SRC,,ptyp_01KCC4NMFYBGMVP5P9JZ220VX2,ptag_01KCC4HEQENRS8HNZ9MMBEXTM5,TRUE,B001BEAWXY,,Men's Cotton Classics 3-Pack Boxer Brief,B001BEAWXY,B001BEAWXY,FALSE,TRUE,500,,,,,,,Calvin Klein,109.48,119.00,Variant,Default,https://m.media-amazon.com/images/I/716vzeqa7ZL._AC_UL320_.jpg,
,unisex-kids-bag-backpack-b09fm5pmn3,Unisex Kids Bag Backpack,,Unisex Kids Bag Backpack by JANSPORT. Category: New season. Rated 4.4 stars. Shop: https://www.amazon.ae/dp/B09FM5PMN3,published,https://m.media-amazon.com/images/I/51XASBuqjrL._AC_UL320_.jpg,500,,,,,,,,default,sc_01KCBH6HGXQJG2T09NAZZN0SRC,,ptyp_01KCC4NMFYBGMVP5P9JZ220VX2,ptag_01KCC4HEKMA64HT1R1VXP1ZGQ4,TRUE,B09FM5PMN3,,Unisex Kids Bag Backpack,B09FM5PMN3,B09FM5PMN3,FALSE,TRUE,500,,,,,,,,164.68,179.00,Variant,Default,https://m.media-amazon.com/images/I/51XASBuqjrL._AC_UL320_.jpg,
,superbreak-backpack-b08yrvszlj,Superbreak Backpack,,Superbreak Backpack by JANSPORT. Category: New season. Rated 4.6 stars. Shop: https://www.amazon.ae/dp/B08YRVSZLJ,published,https://m.media-amazon.com/images/I/51kw4XtzuyL._AC_UL320_.jpg,500,,,,,,,,default,sc_01KCBH6HGXQJG2T09NAZZN0SRC,,ptyp_01KCC4NMFYBGMVP5P9JZ220VX2,ptag_01KCC4HEKMA64HT1R1VXP1ZGQ4,TRUE,B08YRVSZLJ,,Superbreak Backpack,B08YRVSZLJ,B08YRVSZLJ,FALSE,TRUE,500,,,,,,,,118.68,129.00,Variant,Default,https://m.media-amazon.com/images/I/51kw4XtzuyL._AC_UL320_.jpg,
,non-slip-pilates-socks-with-grips-for-women-grip-socks-for-yoga-ballet-barefoot-workout-anti-skid-athletic-socks-b0by12qts5,"Non Slip Pilates Socks with Grips for Women, Grip Socks for Yoga Ballet Barefoot Workout Anti Skid Athletic Socks",yeuG,"Non Slip Pilates Socks with Grips for Women, Grip Socks for Yoga Ballet Barefoot Workout Anti Skid Athletic Socks by yeuG. Category: New season. Rated 4.6 stars. Shop: https://www.amazon.ae/dp/B0BY12QTS",published,https://m.media-amazon.com/images/I/71g1ZrrOk9L._AC_UL320_.jpg,500,,,,,,,yeuG,default,sc_01KCBH6HGXQJG2T09NAZZN0SRC,,ptyp_01KCC4NMFYBGMVP5P9JZ220VX2,ptag_01KCC4HESF9MKQBT1YWF7CYG8H,TRUE,B0BY12QTS5,,"Non Slip Pilates Socks with Grips for Women, Grip Socks for Yoga Ballet Barefoot Workout Anti Skid Athletic Socks",B0BY12QTS5,B0BY12QTS5,FALSE,TRUE,500,,,,,,,yeuG,17.48,19.00,Variant,Default,https://m.media-amazon.com/images/I/71g1ZrrOk9L._AC_UL320_.jpg,
,unisex-classic-3-stripes-backpack-backpack-b09n2pjxrz,unisex Classic 3-Stripes Backpack BACKPACK,adidas,unisex Classic 3-Stripes Backpack BACKPACK by adidas. Category: New season. Rated 4.5 stars. Shop: https://www.amazon.ae/dp/B09N2PJXRZ,published,https://m.media-amazon.com/images/I/81Beonq+r1L._AC_UL320_.jpg,500,,,,,,,adidas,default,sc_01KCBH6HGXQJG2T09NAZZN0SRC,,ptyp_01KCC4NMFYBGMVP5P9JZ220VX2,ptag_01KCC4HEVEYTDX8GM0ND0V5ZMQ,TRUE,B09N2PJXRZ,,unisex Classic 3-Stripes Backpack BACKPACK,B09N2PJXRZ,B09N2PJXRZ,FALSE,TRUE,500,,,,,,,adidas,70.84,77.00,Variant,Default,https://m.media-amazon.com/images/I/81Beonq+r1L._AC_UL320_.jpg,
,theo-men-watch-analog-b08gs7dws1,"THEO Men Watch, Analog",Tommy Hilfiger,"THEO Men Watch, Analog by Tommy Hilfiger. Category: New season. Rated 4.4 stars. Shop: https://www.amazon.ae/dp/B08GS7DWS",published,https://m.media-amazon.com/images/I/614YUufLpwL._AC_UL320_.jpg,500,,,,,,,Tommy Hilfiger,default,sc_01KCBH6HGXQJG2T09NAZZN0SRC,,ptyp_01KCC4NMFYBGMVP5P9JZ220VX2,ptag_01KCC4HEXEQBCXSAZH24SZ2MGJ,TRUE,B08GS7DWS1,,"THEO Men Watch, Analog",B08GS7DWS1,B08GS7DWS1,FALSE,TRUE,500,,,,,,,Tommy Hilfiger,192.83,209.60,Variant,Default,https://m.media-amazon.com/images/I/614YUufLpwL._AC_UL320_.jpg,
,unisex-basic-accessory-pouch-pencil-case-b08yrxdnb9,Unisex Basic Accessory Pouch Pencil case,,Unisex Basic Accessory Pouch Pencil case by JANSPORT. Category: New season. Rated 4.6 stars. Shop: https://www.amazon.ae/dp/B08YRXDNB9,published,https://m.media-amazon.com/images/I/51fQ6zVFiUL._AC_UL320_.jpg,500,,,,,,,,default,sc_01KCBH6HGXQJG2T09NAZZN0SRC,,ptyp_01KCC4NMFYBGMVP5P9JZ220VX2,ptag_01KCC4HEKMA64HT1R1VXP1ZGQ4,TRUE,B08YRXDNB9,,Unisex Basic Accessory Pouch Pencil case,B08YRXDNB9,B08YRXDNB9,FALSE,TRUE,500,,,,,,,,0.00,0.00,Variant,Default,https://m.media-amazon.com/images/I/51fQ6zVFiUL._AC_UL320_.jpg,
